心事,something weighing on one's mind,xīnshì
闹别扭,to have a small conflict;to be at odds (with someone),nào bièniu
高中,senior high school,gāozhōng
性格,personality;character,xìnggé
十分,very,shífēn
开朗,extroverted;open and sunny in disposition,kāilǎng
迷,fan; to be infatuated with,mí
演唱会,vocal concert,yǎnchànghuì
爱好,hobby;interest; to love (sth),àihào
不同,different;not the same,bù tóng
相处,to get along,xiāngchǔ
之间,between;among,zhī jiān
到底,what on earth;what in the world; in the end,dàodǐ
发生,to happen;to occur;to take place,fāshēng
背景,background,bèijǐng
提,to mention;to bring up,tí
心,heart;mind,xīn
根本,at all;simply,gēnběn
回,(measure word for frequency of an action),huí
一干二净,completely;thoroughly,yì gān èr jìng
生气,to get angry,shēng qì
叫,to make (sb do sth),jiào
陪,to accompany,péi
答应,to agree (to do sth);to promise;to answer,dāying
电影院,movie theater,diànyǐngyuàn
吹,to end a relationship; (lit.) to blow,chuī
噢,oh!,ō
原来,as a matter of fact; original;former,yuánlái
马虎,careless;perfunctory;mediocre,mǎhu
难怪,no wonder,nánguià
心情,mood,xīnqíng
不停,continuously;incessantly,bùtíng
道歉,to apologize,dào qiàn
态度,attitude,tàidu
真心,sincere;wholehearted,zhēnxīn
句,(measure word for sentences),jù
吵架,to quarrel,chǎo jià
记仇,to bear a grudge;to harbor resentment,jì chóu
哈,(imitating laughter),hā
说不定,perhaps;maybe,shuōbudìng
分手,to break up;to part company,fēn shǒu
实际上,in fact;in reality;actually,shíjìshang
丢三落四,scatterbrained;forgetful,diū sān là sì
钥匙,key,yàoshi
交朋友,to make friends,jiāo péngyou
